Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
HHATL,0.622759076,1.06670867,0.426080591,0.031293013,0.047642676,0.047642676
COX6B2,16.95570702,0.775562585,0.202447365,0.021399794,0.027518904,0.027518904
ATP1A4,32.40636327,0.66833893,0.194904062,0.020985483,0.027047372,0.027047372
MGAM,65.30658021,0.726939337,0.201905764,0.016785041,0.026924296,0.026924296
MRGPRX3,6.07604135,0.979270116,0.24329446,0.01316834,0.021574447,0.021574447
AQP8,0.905073208,0.843210947,0.234614041,0.010758095,0.017879333,0.017879333
BHMT,1.550700174,0.869584749,0.208209919,0.009317135,0.017011071,0.017011071
RORB,8.825163623,0.741784102,0.165222044,0.009541273,0.015998762,0.015998762
RLN1,2.722056065,0.666876558,0.143782666,0.00868465,0.015488705,0.015488705
FAM81B,14.14063155,0.805197419,0.235087106,0.009135862,0.015382876,0.015382876
APOA1,6.76302088,0.721006916,0.21411639,0.008309393,0.014883251,0.014883251
AFP,30.88562694,0.790776022,0.323666195,0.009322959,0.01286417,0.01286417
DACT2,10.16017053,0.915072997,0.205086471,0.00498927,0.009337334,0.009337334
LGALS9B,7.411294837,0.652972764,0.290583085,0.00517668,0.009144799,0.009144799
CLCA4,5.744693061,0.697242429,0.289652232,0.003135353,0.005737453,0.005737453
SLC47A2,1.675442913,1.532011945,0.181139681,0.00208835,0.004285495,0.004285495
CAPZA3,1.13570517,0.848210647,0.346796165,0.0020439,0.003868978,0.003868978
SCGB2A2,21186.34388,1.140723897,0.268999661,0.001681203,0.00354045,0.00354045
CCDC17,9.490912351,0.742244122,0.110829481,0.001591792,0.003067837,0.003067837
PSPN,0.576084156,0.616833783,0.243874751,0.001577265,0.0030415,0.0030415
NTNG1,66.03429674,1.705665832,0.250531868,0.001208953,0.001940998,0.001940998
HSPA6,276.5216473,0.780268829,0.103288989,0.000932814,0.001869995,0.001869995
PITX3,0.694071233,0.673212158,0.236745267,0.000844136,0.001852014,0.001852014
CRYM,64.41255552,1.15196081,0.226789266,0.001096661,0.001774254,0.001774254
FAM166A,0.854712661,0.766985795,0.273408803,0.000818652,0.001656178,0.001656178
C10orf67,2.031193524,0.870327978,0.311590439,0.000771586,0.001567923,0.001567923
SLC7A14,0.635765133,0.910135708,0.325117118,0.000704629,0.001440563,0.001440563
CHAD,725.0745324,0.585242426,0.189559286,0.000559388,0.001161788,0.001161788
FGF17,1.337809575,0.769282114,0.254342728,0.000434485,0.00096982,0.00096982
FAM181B,15.85161553,1.866278465,0.204226658,0.000418001,0.000885709,0.000885709
LHB,0.618675317,0.812157009,0.27407839,0.000376258,0.000847939,0.000847939
GCNT3,11.37684852,1.19855067,0.225529238,0.000344895,0.000741151,0.000741151
TEX14,53.78926447,0.629358682,0.171741348,0.000396017,0.000685372,0.000685372
HBA1,45.02232463,0.824575356,0.268720014,0.000365693,0.000635907,0.000635907
NEK10,211.1127342,0.612709126,0.186050458,0.000264412,0.000578317,0.000578317
EMX1,34.36834979,0.741886912,0.234231778,0.000305056,0.000536422,0.000536422
CYP4F12,29.12261631,0.659293223,0.204256477,0.000296681,0.000522896,0.000522896
CLCNKB,3.230330208,0.62789446,0.189256006,0.000225784,0.000499164,0.000499164
CSF3,2.78102546,0.900900513,0.37984626,0.00022063,0.000488532,0.000488532
PYDC1,97.62397131,0.892919385,0.278907173,0.000213745,0.000445724,0.000445724
OBP2B,183.5955659,0.97421325,0.305053191,0.000199159,0.000444054,0.000444054
SLC4A4,54.18685936,1.143483662,0.170135766,0.000236861,0.000424811,0.000424811
SORCS1,152.1925405,0.772737645,0.233005967,0.000170599,0.000385116,0.000385116
FLJ33360,2.685402023,0.600043587,0.175550538,0.00017047,0.000384887,0.000384887
FLJ16779,7.444666505,0.710782924,0.211617193,0.000166988,0.000377622,0.000377622
C2orf73,3.532954039,0.586405952,0.169299676,0.000150307,0.000361699,0.000361699
KLK13,17.4442163,2.202201345,0.281893339,0.000138714,0.000317655,0.000317655
HAS1,18.45438036,0.675820469,0.196108387,0.00013217,0.000302964,0.000302964
SLC6A4,255.2126607,0.908638072,0.264127472,9.08E-05,0.00028897,0.00028897
CGB7,2.305094828,0.672737331,0.193349647,0.000113754,0.000286633,0.000286633
GALR2,0.744672244,1.028909219,0.241806828,0.000107895,0.000265615,0.000265615
SCGB2A1,347.6328416,1.105314599,0.230186074,0.000110984,0.000258086,0.000258086
FOXI2,4.402966504,1.25394055,0.163834648,9.51E-05,0.000223412,0.000223412
PDZK1,665.9663913,0.734178957,0.205994578,7.48E-05,0.000204542,0.000204542
CORO6,159.0181289,0.984541585,0.190291728,8.44E-05,0.00019965,0.00019965
UNC5A,158.6312647,0.617517282,0.169020291,6.99E-05,0.000167231,0.000167231
EGR4,5.628740984,1.282029951,0.248267037,6.83E-05,0.000163526,0.000163526
OSR1,153.610139,0.615773038,0.167295998,6.34E-05,0.000159293,0.000159293
TFF3,5272.69321,0.696598962,0.193539796,7.21E-05,0.000154658,0.000154658
CRYGN,3.07197513,0.586404966,0.15814582,5.90E-05,0.000142763,0.000142763
DIO3OS,0.737038327,0.9193138,0.259446665,5.27E-05,0.000128537,0.000128537
SLC14A2,7.796186614,1.461103913,0.195823256,5.25E-05,0.000127997,0.000127997
LCN12,38.63456401,0.585235295,0.15852475,6.51E-05,0.000127633,0.000127633
CXCL14,6618.830022,0.930556587,0.173032878,4.94E-05,0.000120914,0.000120914
KLHDC7A,538.9486743,0.767350726,0.20838218,4.59E-05,0.000114883,0.000114883
BMPER,24.43912163,0.940648576,0.161786184,5.30E-05,0.000105603,0.000105603
C14orf39,2.703202257,1.004990807,0.277139287,3.97E-05,0.000104458,0.000104458
ADAMTS18,48.06025743,0.661335677,0.174286219,3.64E-05,9.09E-05,9.09E-05
SYN2,42.65532454,0.630181035,0.166449229,4.05E-05,8.20E-05,8.20E-05
HGFAC,2.903086143,0.913015196,0.246161478,3.18E-05,8.01E-05,8.01E-05
CYP4F8,228.2595647,1.400076316,0.325902736,2.64E-05,6.73E-05,6.73E-05
VTCN1,3154.551968,0.597604639,0.153846793,2.93E-05,6.65E-05,6.65E-05
DCT,1.397990321,1.465441439,0.365239099,2.12E-05,5.95E-05,5.95E-05
SNX31,1.972211419,0.707369478,0.254067265,2.13E-05,5.80E-05,5.80E-05
LRG1,967.7026997,0.606108305,0.155248674,2.66E-05,5.47E-05,5.47E-05
PDZD3,0.510367858,0.916209596,0.239123329,1.85E-05,5.22E-05,5.22E-05
NAV3,185.9662495,0.760464298,0.142150957,2.01E-05,5.21E-05,5.21E-05
SPOCK3,2.76178547,1.045027931,0.274117229,1.87E-05,4.86E-05,4.86E-05
IL17B,14.84362595,0.930555204,0.241349937,1.67E-05,4.75E-05,4.75E-05
OR2T8,0.79167884,0.88105521,0.227793633,1.61E-05,4.23E-05,4.23E-05
