Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
CA12,3.961139786,3.60E-249,0.000111669,6.70E-05,0.00012654,1.60E-05,0.000724679,0.000007996,5.49E-06,0.000006642,3.39E-06,2.81E-05,0.000119665,7.25E-05,0.000133182,1.94E-05,0.000752803,3.903578968,3.724950934,4.325637577,2.512728268,4.742403802,248.4436975
NAT1,5.325419624,7.49E-237,2.98E-07,1.11E-06,2.50E-06,1.58E-05,0.000701985,5.04E-07,4.57E-07,5.70E-07,7.73E-07,5.69E-07,8.03E-07,1.57E-06,3.07E-06,1.65E-05,0.000702554,0.670410097,1.778539088,2.430877787,4.418630792,10.27000785,236.1255182
FSIP1,5.103605873,1.95E-220,1.51E-06,2.54E-06,7.98E-08,1.58E-07,0.000143496,4.38E-07,4.00E-07,5.01E-07,6.80E-07,4.97E-07,1.94E-06,2.94E-06,5.80E-07,8.37E-07,0.000143993,2.149773511,2.879893569,0.213416534,0.300749291,8.177678137,219.7099654
MLPH,3.44754815,5.29E-213,2.48E-06,6.17E-07,9.73E-05,1.81E-05,0.000944147,1.97E-06,1.73E-06,4.22E-06,2.84E-06,2.52E-05,4.46E-06,2.34E-06,0.000101535,2.10E-05,0.000969374,1.175899957,0.441090577,4.58774614,2.886944768,5.264029988,212.2765443
AGR3,5.253849509,2.82E-207,4.65E-07,1.79E-07,3.28E-07,2.20E-07,0.000846099,5.13E-07,4.71E-07,5.83E-07,7.84E-07,5.92E-07,9.78E-07,6.50E-07,9.10E-07,1.00E-06,0.000846691,0.930056201,0.464459862,0.644077095,0.357253387,10.48304412,206.5497509
TBC1D9,3.097234042,8.13E-204,0.000164857,0.000242433,3.84E-05,2.32E-05,0.000398576,3.73E-05,5.53E-05,1.04E-05,8.08E-06,7.32E-05,0.0002022,0.000297769,4.88E-05,3.13E-05,0.000471815,2.436853942,2.427895478,2.225062294,1.953354945,2.687527439,203.0899095
XBP1,2.590953846,3.39E-203,3.80E-06,9.96E-06,0.000014059,0.000033398,-6.32E-06,7.45E-05,0.000228237,0.000206208,0.000359843,0.000124292,7.83E-05,0.000238195,0.000220267,0.000393241,0.000117968,0.071821895,0.061610441,0.095153065,0.128046153,-0.075337874,202.4698003
ESR1,4.320460854,3.08E-200,-3.62E-07,-3.17E-07,0.00010023,2.94E-06,0.00095475,1.61E-06,0.000001365,3.43E-06,2.28E-06,1.75E-05,1.25E-06,1.05E-06,0.000103661,5.22E-06,0.000972275,-0.366595345,-0.380849308,4.916915277,1.194978584,5.793886309,199.5114493
FOXA1,3.657402616,2.69E-194,-5.29E-07,-5.59E-07,-8.87E-08,7.06E-06,0.001028956,1.51E-06,1.35E-06,1.53E-06,2.22E-06,2.82E-05,9.76E-07,7.94E-07,1.44E-06,9.29E-06,0.00105715,-0.624407281,-0.768901183,-0.085924608,2.061904041,5.228632762,193.5702477
GATA3,3.050064997,6.84E-193,0.000122893,0.000124315,0.000204191,0.000139192,0.000212559,4.46E-05,4.60E-05,9.19E-05,5.59E-05,9.43E-05,0.000167477,0.000170289,0.0002961,0.000195072,0.000306896,1.909368253,1.889098284,1.687809583,1.803607951,1.701857273,192.1649439
