"","V1","pvals_Basal","pvals_Basal_myo","pvals_L11","pvals_L12","pvals_L2"
"1","A2ML1",0.63232,0.71645,0.29024,0.00255,0.70107
"2","ABAT",0.4511,0.36102,0.43783,0.38242,0.00416
"3","ABCA2",0.1966,0.00184,0.61477,0.74203,0.74893
"4","ABCA3",0.75195,0.26905,0.54922,0.20234,0.04045
"5","ABCG1",0.22234,0.00319,0.64977,0.69688,0.74459
"6","ABHD14B",0.21054,0.54896,0.04449,0.33066,0.41238
"7","ABHD4",0.3393,0.40219,0.03668,0.18353,0.48672
"8","ACADSB",0.42398,0.4196,0.35111,0.53816,0.00132
"9","ACSL5",0.69316,0.69772,0.03125,0.25436,0.60603
"10","ADCY1",0.69261,0.40952,0.72259,0.81012,0.03256
"11","ADCY7",0.54178,0.29296,0.50996,0.15114,0.01511
"12","ADCY9",0.18224,0.05879,0.37115,0.01867,0.31949
"13","ADSL",0.11539,0.28269,0.41352,0.13854,0.04693
"14","AFF3",0.98891,0.86158,0.9996,0.99075,0.00035
"15","AGR2",0.43525,0.63621,0.58907,0.16311,0.00074
"16","AGR3",0.79797,0.84693,0.83963,0.85689,8e-04
"17","AIF1L",0.44159,0.55007,0.00303,0.11285,0.64872
"18","ALAD",0.49669,0.01929,0.0538,0.38871,0.36487
"19","ALDH1A3",0.61613,0.63592,0.04572,0.20388,0.61165
"20","ALDH3B2",0.59531,0.85091,0.00607,0.74017,0.10415
"21","ANKRD30A",0.8649,0.98564,0.99882,0.87412,0.0084
"22","ANLN",7e-04,0.61458,0.56233,0.50459,0.15023
"23","ANO1",0.31003,0.0431,0.72514,0.76226,0.70369
"24","ANXA8",0.40411,0.04608,0.66862,0.62656,0.69029
"25","ANXA9",0.62356,0.51331,0.54266,0.79566,0.02339
"26","AP1G2",0.32262,0.04631,0.07337,0.49919,0.19768
"27","APBB2",0.53523,0.24148,0.55343,0.51424,0.0101
"28","APCDD1",0.50368,0.48945,0.04854,0.64981,0.68091
"29","APPL2",0.31505,0.03585,0.06832,0.31558,0.29889
"30","AQP5",0.72644,0.72188,0.01535,0.62837,0.7015
"31","ARFIP1",0.24695,0.47918,0.04141,0.02628,0.14718
"32","ARHGAP11A",0.02706,0.38665,0.56895,0.5644,0.5089
"33","ARHGAP27",0.64856,0.65684,0.44642,0.0097,0.523
"34","ARHGAP31",0.37482,0.03363,0.66156,0.64371,0.68575
"35","AR",0.76333,0.84548,0.85556,0.98477,0.0121
"36","ASPM",0.00018,0.68655,0.57111,0.66545,0.66359
"37","ATAD3A",0.44194,0.35347,0.6283,0.13346,0.02857
"38","ATG16L1",0.55116,0.62336,0.39974,0.19824,0.00508
"39","ATP11A",0.55695,0.29365,0.03244,0.02969,0.19215
"40","ATP8B1",0.74747,0.72031,0.032,0.05424,0.01085
"41","AURKA",0.04602,0.456,0.61844,0.4086,0.28303
"42","B3GNT5",0.6823,0.45334,0.29497,0.00296,0.30777
"43","BAIAP2L1",0.41852,0.29944,0.2382,0.30215,0.04004
"44","BBS1",0.00254,0.33923,0.1419,0.44232,0.495
"45","BCAS1",0.76956,0.68008,0.74282,0.62193,0.02606
"46","BCL2",0.40595,0.40093,0.02883,0.20611,0.05483
"47","BIRC5",0.01349,0.21826,0.45775,0.56787,0.57289
"48","BLVRA",0.04724,0.19982,0.73132,0.35381,0.07233
"49","BMPR1B",0.27236,0.45847,0.72256,0.69901,0.01848
"50","BTBD3",0.50346,0.02907,0.31664,0.07124,0.49516
"51","BTRC",0.51624,0.47751,0.22049,0.20703,0.01062
"52","BUB1B",0.02048,0.66669,0.66765,0.67619,0.6389
"53","BUB1",0.00095,0.58336,0.45242,0.63874,0.59336
"54","BYSL",0.36642,0.39364,0.41264,0.40231,0.02631
"55","C16orf57",0.09697,0.09607,0.07016,0.04914,0.19165
"56","C17orf28",0.07447,0.09318,0.06079,0.03756,0.20335
"57","C1orf27",0.62194,0.57432,0.2906,0.12905,0.01623
"58","C21orf91",0.5726,0.64516,0.01128,0.34525,0.4426
"59","C4orf32",0.42442,0.4949,0.34541,0.16064,0.03246
"60","C4orf34",0.07135,0.09011,0.05902,0.03712,0.18657
"61","C5orf24",0.04151,0.5013,0.41131,0.25771,0.27511
"62","C5orf30",0.52701,0.45017,0.53432,0.20547,0.02591
"63","C6orf211",0.07265,0.09861,0.05721,0.03772,0.18818
"64","C9orf152",0.86545,0.86931,0.62765,0.73309,0.04685
"65","CA12",0.28147,0.37981,0.25225,0.5366,0.00174
"66","CACNG4",0.60244,0.73418,0.60823,0.75652,0.00437
"67","CALB2",0.50275,0.58858,0.0086,0.58138,0.68253
"68","CALML5",0.58699,0.6743,0.10165,0.03837,0.64467
